Discipline;Etagère;Xleft;Xright;Ybottom;Yup;Ecart
Histoire;1;3,2;15,7;96;95,3;periodiques
;2;5;14,8;93,05;92,55;0,5
;3;5;14,8;92,55;92,05;0,5
;4;5;14,8;90,05;89,55;0,5
;5;5;14,8;89,55;89,05;0,5
;6;5;14,8;87,05;86,55;0,5
;7;5;14,8;86,55;86,05;0,5
;8;5;14,8;84,05;83,55;0,5
;9;5;14,8;83,55;83,05;0,5
;10;5;14,8;81,05;80,55;0,5
;11;5;14,8;80,55;80,05;0,5
;12;5;14,8;78,05;77,55;0,5
;13;5;14,8;77,55;77,05;0,5
;14;5;14,8;75,05;74,55;0,5
;15;5;14,8;74,55;74,05;0,5
;16;5;14,8;72,05;71,55;0,5
;17;5;14,8;71,55;71,05;0,5
;18;5;14,8;69,05;68,55;0,5
;19;5;14,8;68,55;68,05;0,5
;20;5;14,8;66,05;65,55;0,5
;21;5;14,8;65,55;65,05;0,5
;22;5;14,8;63,05;62,55;0,5
;23;5;14,8;62,55;62,05;0,5
;24;5;14,8;60,05;59,55;0,5
;25;5;14,8;59,55;59,05;0,5
;26;5;14,8;57,05;56,55;0,5
;27;5;14,8;56,55;56,05;0,5
Philosophie;28;5;14,8;54,05;53,55;0,5
;29;5;14,8;53,55;53,05;0,5
;30;5;14,8;51,05;50,55;0,5
;31;5;14,8;50,55;50,05;0,5
;32;5;14,8;48,05;47,55;0,5
;33;5;14,8;47,55;47,05;0,5
;34;5;14,8;45,05;44,55;0,5
;35;5;14,8;44,55;44,05;0,5
;36;5;14,8;42,05;41,55;0,5
;37;5;14,8;41,55;41,05;0,5
;38;5;14,8;39,05;38,55;0,5
;39;5;14,8;38,55;38,05;0,5
;40;5;14,8;36,05;35,55;0,5
;41;5;14,8;35,55;35,05;0,5
;42;0;0;0;0;
;43;0;0;0;0;
Art;44;0;0;0;0;0
;54;19,5;29,3;18,7;18,2;0,5
;53;19,5;29,3;18,2;17,7;0,5
;52;19,5;29,3;15,4;14,9;0,5
;51;19,5;29,3;14,9;14,4;0,5
;50;19,5;29,3;12,1;11,6;0,5
;49;19,5;29,3;11,6;11,1;0,5
;48;19,5;29,3;8,8;8,3;0,5
;47;19,5;29,3;8,3;7,8;0,5
;46;19,5;29,3;5,5;5;0,5
;45;19,5;29,3;5;4,5;0,5
;44;19,5;29,3;2,2;1,7;0,5
Geographie;71;20,53;31,57;96,03;95,5;periodiques
;70;23,24;30,14;93,53;93,03;0,5
;69;23,24;30,14;93,03;92,53;0,5
;68;23,24;30,14;91,03;90,53;0,5
;67;23,24;30,14;90,53;90,03;0,5
;66;23,24;30,14;88,53;88,03;0,5
;65;23,24;30,14;88,03;87,53;0,5
Religion;64;23,24;30,14;86,03;85,53;0,5
;63;23,24;30,14;85,53;85,03;0,5
;62;23,24;30,14;83,53;83,03;0,5
;61;23,24;30,14;83,03;82,53;0,5
;60;23,24;30,14;81,03;80,53;0,5
;59;23,24;30,14;80,53;80,03;0,5
;58;23,24;30,14;78,53;78,03;0,5
;57;23,24;30,14;78,03;77,53;0,5
;56;0;0;0;0;periodiques
;55;0;0;0;0;
